Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Brasília Agora,@brasilia_agora,2025-04-25T18:08:08.000Z,False,"A Terracap abriu licitação pública, nesta quinta-feira, 24 de abril, para contratação de obras de infraestrutura na Quadra 12 Conjuntos CL, Setor Sul Gama.

► Acompanhe esta e mais notícias do dia pelo nosso site:https://brasiliaagora.com.br/governo-do-df-abre-licitacao-para-obras-de-infraestrutura-e-drenagem-no-gama/…",0,0,0,7,[],[],[],https://pbs.twimg.com/profile_images/1295728156834496513/D3ElHc85_bigger.jpg,https://x.com/brasilia_agora/status/1915830198433435897,tweet_id:1915830198433435897
Instituto GeoLAB,@GeolabSul,2025-04-21T23:26:31.000Z,False,"Brasília (DF) destaca-se como centro máximo de gestão pública, centralizando a maior parte da estrutura administrativa federal. Em seguida, surgem Rio de Janeiro (RJ), São Paulo (SP) e Recife (PE), municípios com histórico de capitalidade e robusta infraestrutura institucional.",1,0,2,184,[],[],[],https://pbs.twimg.com/profile_images/1675308059860643847/8bnlAhXO_bigger.jpg,https://x.com/GeolabSul/status/1914460772802928665,tweet_id:1914460772802928665
Aloisio Godoy,@god83492,2025-02-06T18:32:20.000Z,False,"Que ideia incrível, um país com 27 estados independentes, e Brasília de quebra , não seria mais fácil termos um projeto forte e constante de Brasil? Não importa quem seja o gov, algumas matrizes devem ser seguidas, infraestrutura, educação, saúde, segurança pública.",0,0,0,27,[],[],[],https://pbs.twimg.com/profile_images/1848450720367849472/mGPuj-Qp_bigger.jpg,https://x.com/god83492/status/1887570035289342367,tweet_id:1887570035289342367
Mari Valentim,@marivalentimdf,2025-01-02T20:00:02.000Z,True,"Na verdade, várias cidades foram criadas para acabar com invasões em Brasília. Mas ai é um outro conceito...não são condomínios sem infraestrutura pública e privada.",2,0,0,202,[],[],[],https://pbs.twimg.com/profile_images/1582472215764819972/tDgMqd_9_bigger.jpg,https://x.com/marivalentimdf/status/1874908531809517799,tweet_id:1874908531809517799
Ministério da Gestão e da Inovação,@gestaogovbr,2024-11-27T12:31:56.000Z,True,"#RedeGealc |  discute futuro da Infraestrutura Pública Digital em reunião de Governo Digital das Américas #IFDEncontro em Brasília reúne ministros e secretários de Governo Digital de 25 países da América Latina e Caribe.  

Saiba mais ",1,3,6,1K,"['#RedeGealc', '#IFD']","['@dataprev', '@redgealc']",['\\U0001f447'],https://pbs.twimg.com/profile_images/1862505484323799040/nXCWwZUT_bigger.jpg,https://x.com/gestaogovbr/status/1861749800183484903,tweet_id:1861749800183484903
Rota Lucrativa,@rotalucrativa,2024-11-10T19:34:37.000Z,True,"Infraestrutura precária das cidades , demora nos atendimentos na área de saúde, impostos para os que ganham menos, ensino médio público fraco, supersalários em Brasília, 500 ministérios no governo, desvio de verbas pública, mal uso de verbas pública…",0,0,1,140,[],[],[],https://pbs.twimg.com/profile_images/1908731579406467072/JHI403PW_bigger.jpg,https://x.com/rotalucrativa/status/1855695577087946784,tweet_id:1855695577087946784
Brasília Agora,@brasilia_agora,2025-04-25T18:08:08.000Z,False,"A Terracap abriu licitação pública, nesta quinta-feira, 24 de abril, para contratação de obras de infraestrutura na Quadra 12 Conjuntos CL, Setor Sul Gama.

► Acompanhe esta e mais notícias do dia pelo nosso site:https://brasiliaagora.com.br/governo-do-df-abre-licitacao-para-obras-de-infraestrutura-e-drenagem-no-gama/…",0,0,0,7,[],[],[],https://pbs.twimg.com/profile_images/1295728156834496513/D3ElHc85_bigger.jpg,https://x.com/brasilia_agora/status/1915830198433435897,tweet_id:1915830198433435897
Banco Interamericano de Desenvolvimento,@bidbr,2024-08-19T14:44:03.000Z,True,"Não perca nesta terça, a partir das 11:30 (de Brasília), o workshop ‘Impulsionando o Crescimento Econômico Inclusivo com Infraestrutura Pública Digital e Sistemas de Identidade Digital’ e saiba como esses sistemas podem promover a inclusão financeira, melhorar a prestação de",0,0,0,81,[],[],[],https://pbs.twimg.com/profile_images/1673819188412948480/YBat2H4A_bigger.png,https://x.com/bidbr/status/1825544260969484419,tweet_id:1825544260969484419
@adelvandoria,@adelvandoria,2024-08-11T17:34:08.000Z,False,"Na medida em q maior parte da dívida pública foi contraída para desenvolver a infraestrutura apenas do Sudeste como CSN, Ponte Rio-niteroi, Itaipu, portos, aeroportos Construção de Brasília etc o Norte e nordeste  ainda servem como mão de obra barata e mercado consumidor cativo.",1,0,0,42,[],[],[],https://pbs.twimg.com/profile_images/1375855125907013636/xmvUAxh5_bigger.png,https://x.com/BotafogoDoria/status/1822687962309566604,tweet_id:1822687962309566604
Ricardo Costa de Oliveira,@Ricardo_Cd_Oliv,2024-07-09T22:11:14.000Z,False,"TCU APROVA DESCONTO BILIONÁRIO PARA OI
Antecipado pela piauí, acordo reduz em até 17 bilhões de reais o valor que a operadora deveria investir em infraestrutura pública. Breno Pires, de Brasília|02 jul 2024_18h43",1,13,48,1.2K,[],[],[],https://pbs.twimg.com/profile_images/1100024047335862272/WW0Hsoyg_bigger.png,https://x.com/Ricardo_Cd_Oliv/status/1810798896857190459,tweet_id:1810798896857190459
Portal UNIBUS,@portalunibus,2024-07-01T18:02:48.000Z,False,"A Comissão de Infraestrutura do Senado promoverá uma audiência pública para discutir a implantação de um sistema de BRT que ligará Luziânia, Brasília e o contorno de Goiânia. O investimento previsto é de R$ 28,3 bilhões até 2026. Saiba mais: … https://bit.ly/3VPEUqd",0,0,0,73,[],[],[],https://pbs.twimg.com/profile_images/1763786094737297408/NymCshUL_bigger.jpg,https://x.com/portalunibus/status/1807837273653641560,tweet_id:1807837273653641560
Brunno Melo,@BrunnoMeloCBN,2024-05-03T11:45:18.000Z,False,"VLT entre Brasília e Luziânia (GO)?

Sim, o projeto será tema de uma audiência pública no Senado na Comissão de Infraestrutura. O encontro está marcado para o dia 09/05 (quinta-feira) às 9h30. A ideia é discutir os recursos do PAC destinados ao Entorno.
A iniciativa é do senador",64,64,511,61K,[],[],[],https://pbs.twimg.com/profile_images/1108437982032396290/6ZJy7OOd_bigger.jpg,https://x.com/BrunnoMeloCBN/status/1786361388127973673,tweet_id:1786361388127973673
GutembergReisOficial,@_GutembergReis,2024-04-17T18:10:21.000Z,False,"VI Encontro da Infraestrutura e da Logística do Estado do Rio de Janeiro com seus Parlamentares | Participei deste importante evento, na noite de terça (16), em Brasília, onde debatemos segurança pública e roubo de cargas, um dos grandes males da região metropolitana.",0,0,2,47,[],[],"['\\U0001f69a', '\\U0001f6e3\\ufe0f']",https://pbs.twimg.com/profile_images/1883877074919665664/IVHNLMTB_bigger.jpg,https://x.com/_GutembergReis/status/1780660081966666115,tweet_id:1780660081966666115
Daniel Fonseca,@danielcafonseca,2024-04-15T19:32:26.000Z,False,"Metro de BH inexiste, assim como em Fortaleza, Brasilia, Salvador ou qualquer cidade do mesmo porte. O problema é nacional e não mineiro. Política pública de infraestrutura, duradoura, ampla, com concessões longas.",0,0,0,38,[],[],[],https://pbs.twimg.com/profile_images/1908280099507412992/Wbeq0qsB_bigger.jpg,https://x.com/danielcafonseca/status/1779955963631394984,tweet_id:1779955963631394984
Blog do Branco,@blogdobranco_,2024-03-21T13:36:41.000Z,False,"Recentemente, o vereador marabaense Ilker Moraes (Avante) participou, em Brasília, de uma audiência pública realizada pela Comissão de Infraestrutura para debater o projeto de lei (PL) 2.973/2023, que trata da liberação da mineração em áreas reservadas à pesquisa mineral. A",0,0,0,81,[],[],[],https://pbs.twimg.com/profile_images/1815930448486273024/7HH9wrS2_bigger.jpg,https://x.com/blogdobranco_/status/1770806740180775130,tweet_id:1770806740180775130
Blog do Branco,@blogdobranco_,2024-03-19T18:46:52.000Z,False,"Recentemente, o vereador Ilker Moraes (Podemos) participou, em Brasília, de uma audiência pública realizada pela Comissão de Infraestrutura para debater o projeto de lei (PL) 2.973/2023, que trata da liberação da mineração em áreas reservadas à pesquisa mineral. A proposição foi",0,0,0,105,[],[],[],https://pbs.twimg.com/profile_images/1815930448486273024/7HH9wrS2_bigger.jpg,https://x.com/blogdobranco_/status/1770160025492967474,tweet_id:1770160025492967474
Gazeta MUNDO Jornalístico,@AfonsoS58700307,2024-01-27T08:09:53.000Z,False,  Por que Aracati não faz o mesmo? Como se explica a cidade com 75 mil hab. 16a maior do Ceará e com o 14° PIB NÃO TER UMA INFRAESTRUTURA DE SAÚDE PÚBLICA COMPATÍVEL COM UMA CIDADE QUE É POLO NO LITORAL LESTE? Lamentável! Todos os anos produz [...],1,1,1,54,[],"['@eduardobismarck', '@depguibismarck']",[],https://pbs.twimg.com/profile_images/1918592862385553408/h2codCaC_bigger.jpg,https://x.com/AfonsoS58700307/status/1751155552028106924,tweet_id:1751155552028106924
Melhor Brasília,@MelhorBrasilia,2023-12-18T20:28:03.000Z,False,"Você pode pegar um bom projeto viário e com variedade de usos e aprimorar sua segurança pública e qualidade da infraestrutura pra torná-lo ainda mais caminhável, já fazer isso num subúrbio de baixa densidade dificilmente o salvará de ser dependente do carro.",0,0,1,38,[],[],[],https://pbs.twimg.com/profile_images/1644418752774119425/h15Xkoab_bigger.jpg,https://x.com/MelhorBrasilia/status/1736845806370431113,tweet_id:1736845806370431113
Melhor Brasília,@MelhorBrasilia,2023-12-18T20:25:12.000Z,False,"Ele se baseia mais em projeto urbano, como cruzamentos, possibilidades de trajeto e variedade de serviços e comércio. Não entra em políticas urbanas como manutenção de infraestrutura ou segurança pública, até pq esses itens tem mais “salvação” do que um mau projeto de urbanismo.",1,0,1,29,[],[],[],https://pbs.twimg.com/profile_images/1644418752774119425/h15Xkoab_bigger.jpg,https://x.com/MelhorBrasilia/status/1736845088205029605,tweet_id:1736845088205029605
Frente Nacional dos Consumidores de Energia,@EnergiaFrente,2023-07-07T18:04:37.000Z,False,"A Comissão de Infraestrutura do  discutiu o #PDL365 em audiência pública realizada esta semana, em Brasília. O presidente da #Frente, Luiz Eduardo Barata Ferreira, representou a entidade no debate.",1,0,1,21,"['#PDL365', '#Frente']",['@SenadoFederal'],[],https://pbs.twimg.com/profile_images/1555648546031943682/C0lvg-qH_bigger.png,https://x.com/EnergiaFrente/status/1677378099808436227,tweet_id:1677378099808436227
Pedro Neves,@PedroNevesBR01,2023-07-03T00:55:33.000Z,False,"SC é o 2º estado com maior crescimento populacional no Brasil

Top2 Qualidade de Vida.Top3  IDH.Menor Taxa de Desemprego.Top2 Infraestrutura.Melhor eficiência da Máq. Pública.Melhor Seg. Pública. Ainda cada 100 reais enviados a Brasília, só 13 retornam

Aqui o PT NUNCA governou",0,0,0,30,[],[],[],https://pbs.twimg.com/profile_images/1884055156590841857/iefIgLdN_bigger.jpg,https://x.com/PedroNevesBR01/status/1675669573943566338,tweet_id:1675669573943566338
Elcione Barbalho,@elcionebarbalh0,2023-05-25T01:04:29.000Z,False,"As medidas previstas no arcabouço fiscal também direcionam como devem ser feitos os gastos com as políticas públicas nas áreas de saúde, educação, infraestrutura, segurança pública e etc.

Sigo representando o povo do Pará aqui em Brasília, contem comigo!",0,0,0,50,[],[],[],https://pbs.twimg.com/profile_images/1613133007795142656/679lnGbb_bigger.jpg,https://x.com/elcionebarbalh0/status/1661538695583866883,tweet_id:1661538695583866883
Brasília Agora,@brasilia_agora,2023-05-09T19:18:52.000Z,False,"Ela lembrou que o país registrou uma inflação de 10% em 2021; e de 5,8% em 2022. “A estimativa oficial é de 5,3% este ano; de 3,5% em 2024 e 3% ao ano a partir de 2025”, acrescentou na audiência pública conjunta das comissões de Infraestrutura e de Desenvolvimento Regional.",0,0,0,6,[],[],[],https://pbs.twimg.com/profile_images/1295728156834496513/D3ElHc85_bigger.jpg,https://x.com/brasilia_agora/status/1656015901357924353,tweet_id:1656015901357924353
M Marrelli,@marrelli_m,2023-03-17T14:10:59.000Z,False,"Espero que o gov Lula volte da China com um acordo para construção de 2 linha de Trem Bala, Rio-SP e SP - Brasília, pode se quiser fazer uma parceria pública privada, o governo entra com a infraestrutura e empresas de transporte com os vagões.",0,1,0,60,[],[],[],https://pbs.twimg.com/profile_images/1452704098541838341/MJFFSnlQ_bigger.jpg,https://x.com/marrelli_m/status/1636731862595903492,tweet_id:1636731862595903492
Impostuinte™,@ReginaBrasilia,2023-03-13T10:53:16.000Z,False,"Se eu fosse presidente (ou prefeita ou governadora) seria obcecada por 3 coisas: saneamento, infraestrutura (junto e depois) e a fila de exames/cirurgias. O resto da adm pública meio que anda sozinho, é só a administração não atrapalhar, incluindo não deixar roubar.",2,1,14,562,[],[],[],https://pbs.twimg.com/profile_images/1873372449024135168/BT9BOk82_bigger.jpg,https://x.com/ReginaBrasilia/status/1635232552024969221,tweet_id:1635232552024969221
Denis po,@Denispo10,2023-01-26T05:52:04.000Z,False,"Transferir para Rondônia foi a coisa mais arriscada. Estado com baixa infraestrutura de segurança pública e na divisa com outro país. Um risco gigantesco! Não tem lugar melhor que Brasília, central do COT da PF, forças especiais do exército e outras. Parem de ser burros.",0,0,0,51,[],[],[],https://pbs.twimg.com/profile_images/1357576969857216512/y4AU-XdF_bigger.jpg,https://x.com/Denispo10/status/1618486912851013632,tweet_id:1618486912851013632
Yuri,@yurimourarj,2023-01-08T23:39:51.000Z,True,"Fundamental que  mobilize força policial para vigilância em pontos de infraestrutura, transporte e administração pública na Capital e por todo o Estado do Rio de Janeiro! O terrorismo e vandalismo dos golpistas podem chegar para além de Brasília. Não permitiremos!",2,4,70,1.8K,[],['@claudiocastroRJ'],[],https://pbs.twimg.com/profile_images/1908720444733022208/hTVV_-Mk_bigger.jpg,https://x.com/yurimourarj/status/1612232647299792900,tweet_id:1612232647299792900
ANTT,@ANTT_oficial,2022-12-15T14:14:08.000Z,False,"#ParticipaçãoSocial - Realizaremos hoje (15/12), às 14h, a segunda sessão pública da AP nº 13/2022, que acontecerá em Brasília (DF).  +#AudiênciaPública #Infraestrutura #Concessão #ANTT",1,0,1,0,"['#ParticipaçãoSocial', '#AudiênciaPública', '#Infraestrutura', '#Concessão', '#ANTT']",[],['\\U0001f465'],https://pbs.twimg.com/profile_images/1800269382532116480/VFdh49Pe_bigger.jpg,https://x.com/ANTT_oficial/status/1603392969935130626,tweet_id:1603392969935130626
ANTT,@ANTT_oficial,2022-12-06T20:14:43.000Z,False,"#ParticipaçãoSocial - Nos dias 13 e 15/12, realizaremos a Audiência Pública (AP) n° 13/2022, nas cidades de São Paulo/SP (presencial) e Brasília/DF (presencial e virtual), respectivamente.+#ParticipaçãoSocial #AudiênciaPública #Rodovias #Infraestrutura #Desenvolvimento #ANTT",1,0,2,0,"['#ParticipaçãoSocial', '#ParticipaçãoSocial', '#AudiênciaPública', '#Rodovias', '#Infraestrutura', '#Desenvolvimento', '#ANTT']",[],[],https://pbs.twimg.com/profile_images/1800269382532116480/VFdh49Pe_bigger.jpg,https://x.com/ANTT_oficial/status/1600222222907363328,tweet_id:1600222222907363328
Agência Brasília,@AgenciaBrasilia,2022-11-17T00:26:22.000Z,False,"#TransiçãoDeGovernoNesta quarta-feira, 16, começaram as reuniões das áreas de infraestrutura e mobilidade no CICB. Os trabalhos das áreas de saúde, educação, segurança pública e desenvolvimento social continuam esta semana. 

1/5",1,0,2,0,['#TransiçãoDeGoverno'],[],[],https://pbs.twimg.com/profile_images/1587505169117347840/sjjvwZ7v_bigger.jpg,https://x.com/AgenciaBrasilia/status/1593037797987794946,tweet_id:1593037797987794946
Carlson_Gomes,@carlsongomes25,2022-11-10T20:47:54.000Z,False,"Nesta quinta-feira (10), em Brasília, acompanhado do prefeito Álvaro Dias e dos meus colegas secretários, participei de audiência com o deputado federal General Girão.

Na pauta: melhorias para a infraestrutura pública da cidade. Nas quatro regiões.",0,0,1,0,[],[],[],https://pbs.twimg.com/profile_images/1915192045930459136/CXyv5CSA_bigger.jpg,https://x.com/carlsongomes25/status/1590808491781931008,tweet_id:1590808491781931008
Banco Central BR,@BancoCentralBR,2022-11-10T19:20:51.000Z,True,"Acompanhe pelo canal do BC no YouTube.
 
O Café com PLS é uma parceria entre Banco Central, Escola Nacional de Administração Pública (ENAP), Ministério Público Federal (MPF), Departamento Nacional de Infraestrutura de Transportes (DNIT), Universidade de Brasília (UnB) +",1,1,6,0,[],[],[],https://pbs.twimg.com/profile_images/1906705552115179520/JKZSw0yJ_bigger.jpg,https://x.com/BancoCentralBR/status/1590786583699292160,tweet_id:1590786583699292160
Vítor Azambuja,@vitorazamba,2022-11-07T17:45:40.000Z,False,"Solicitei, aos Deputados  e , que intercedam, junto ao Ministério da Infraestrutura, DNIT e ANTT, a suspensão da audiência pública marcada para sexta-feira (11/11), em Brasília, que visa discutir o projeto de concessão de rodovias federais no RS.

+",1,2,12,0,[],"['@jeronimogoergen', '@AlmeidaMarcus']",[],https://pbs.twimg.com/profile_images/1815582847333236736/qJb5sHny_bigger.jpg,https://x.com/vitorazamba/status/1589675467552223232,tweet_id:1589675467552223232
Brasília Agora,@brasilia_agora,2022-10-28T14:53:04.000Z,False,"→  Gestão e assistência pública à saúde
→  Atividade de defesa do consumidor
→  Planejamento urbano e infraestrutura→  Atividades agropecuárias.

Certames com previsão para 2023
→  PM, oficiais do quadro de saúde
→  PM, soldado
→  Delegado de Polícia",1,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1295728156834496513/D3ElHc85_bigger.jpg,https://x.com/brasilia_agora/status/1586008152331677697,tweet_id:1586008152331677697
Lucas Martins,@Lucas1Mart,2022-10-22T22:25:03.000Z,False,"#DF2 Brasília está abandonada, a quatro anos vemos o reflexo disso em todos os setores como a segurança pública, saúde, infraestrutura, mobilidade urbana dentre outros setores. Não seria diferente com os parquinhos infantis já o governador irresponsável e omisso para com o povo.",0,1,2,0,['#DF2'],[],[],https://pbs.twimg.com/profile_images/1893061835680595968/EhsLp2_-_bigger.jpg,https://x.com/Lucas1Mart/status/1583947567947468800,tweet_id:1583947567947468800
Coletiva Mulheres Indígenas 50333,@mcindigena_df,2022-09-29T12:45:59.000Z,False,"Brevemente pretendo dar um retorno a comunidade, com projetos que ajudem a fortalacer a cultura, educação, infraestrutura, saúde, entre outros. 
Atualmente sou estudante de Gestão Pública no Instituto Federal de Brasília e artesã nas horas vagas.
+",1,0,2,0,[],[],[],https://pbs.twimg.com/profile_images/1578030352614199301/8ABlS-mI_bigger.jpg,https://x.com/mcindigena_df/status/1575466921260158976,tweet_id:1575466921260158976
Renata Magalhães,@renatapsd55,2022-09-14T23:55:51.000Z,False,"Conversei com os moradores sobre meus projetos para o desenvolvimento local. Chegando em Brasília, lutarei por recursos para melhorar a qualidade de vida da população, além da melhora na infraestrutura pública do local, que muito me foi citada pelos moradores.",0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1577809417608863745/pHe-NE_F_bigger.jpg,https://x.com/renatapsd55/status/1570199682231549957,tweet_id:1570199682231549957
O Tempo Brasília,@OTempoBrasilia,2022-06-06T13:12:11.000Z,True,"MAIS MINISTÉRIOS
O presidente Jair Bolsonaro indicou hoje que, se for eleito, pode recriar os ministérios da Segurança Pública, Infraestrutura e Comércio e Pesca. Ele descartou fazer isso antes da eleição.
 https://otempo.com.br/politica/governo/bolsonaro-fala-em-criar-mais-tres-ministerios-se-for-reeleito-1.2679503…",0,0,1,0,[],[],[],https://pbs.twimg.com/profile_images/1517590389812781057/AmafYkXF_bigger.jpg,https://x.com/OTempoBrasilia/status/1533798909629370369,tweet_id:1533798909629370369
Dra. Thaiza Hortegal,@ThaizaHortegal,2022-06-04T21:36:53.000Z,False,"Muito tenho trabalhado aqui, dentro das possibilidades. Mas ao lado da Lucyana, e ela lá em Brasília, teremos mais um reforço. Tratamos de saúde pública, educação superior, infraestrutura, desenvolvimento e muitos outros assuntos.",1,0,2,0,[],[],[],https://pbs.twimg.com/profile_images/1576758876673908742/N5OX94_I_bigger.jpg,https://x.com/ThaizaHortegal/status/1533201144511594496,tweet_id:1533201144511594496
𝙎𝙇𝙀 𝘼𝙂𝙍𝙊,@StaLuziaEsteio,2022-03-08T23:07:21.000Z,False,"BR-163 no Pará. Brasileiros sem acesso a infraestrutura digna.
Muitos da casca pública federal em Brasília tratam a Amazônia com descaso sob o manto de preservação ambiental
Não se importam com as pessoas, como essa mulher no vídeo, carregando seu filho e seus pertences#brasil",3,17,67,0,['#brasil'],[],['\\U0001f1e7\\U0001f1f7'],https://pbs.twimg.com/profile_images/1743394385964744704/KQp4cazY_bigger.jpg,https://x.com/StaLuziaEsteio/status/1501333779813748736,tweet_id:1501333779813748736
Brasília Agora,@brasilia_agora,2022-02-02T20:01:34.000Z,False,"Licitação para obras de infraestrutura no Noroeste

O Setor Habitacional Noroeste receberá reforço na infraestrutura. A Terracap publicou licitação pública para a contratação de obras de drenagem, pavimentação, sinalização e meios-fios.",1,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1295728156834496513/D3ElHc85_bigger.jpg,https://x.com/brasilia_agora/status/1488965839789428736,tweet_id:1488965839789428736
Brasília Agora,@brasilia_agora,2021-11-09T19:24:57.000Z,False,"Em audiência pública das Comissões de Infraestrutura para discutir as causas da crise energética do Senado ele justificou a alta de preços dos combustíveis. ""Principalmente pela alta do petróleo, 60%, e com a chegada do inverno no hemisfério norte, de subir mais"", diz Albuquerque",1,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1295728156834496513/D3ElHc85_bigger.jpg,https://x.com/brasilia_agora/status/1458153656914694149,tweet_id:1458153656914694149
Respeitem os povos originários!,@gabrielll89,2021-08-31T16:02:38.000Z,False,"E, decorrido esse tempo, a infraestrutura ficaria pra ser explorado por uma empresa pública do df. Ainda tem o BID pra conceder empréstimos de longo prazo. Tudo viável, basta um pouco de criatividade. O problema é que governam pra Brasília, não pra o Df",1,0,1,0,[],[],[],https://pbs.twimg.com/profile_images/1480335523545813000/7nIzpZ1c_bigger.jpg,https://x.com/gabrielll89/status/1432735593017004037,tweet_id:1432735593017004037
Correio de Santa Catarina,@CorreiodeSC,2021-08-18T11:31:47.000Z,False,"Em Brasília, Orvino procura recursos para Beira-mar de Barreiros.
Prefeito  e o vice-prefeito  foram a Brasília para participar de audiência pública no Ministério da Infraestrutura junto ao senador .

 https://correiosc.com.br/em-brasilia-orvino-procura-recursos-para-beira-mar-de-barreiros/…",2,0,1,0,[],"['@orvinodeavila', '@michelschlemper', '@darioberger']",[],https://pbs.twimg.com/profile_images/976186817304199170/WeMH6uw3_bigger.jpg,https://x.com/CorreiodeSC/status/1427956387208962053,tweet_id:1427956387208962053
Diário do Iguaçu,@diariodoiguacu,2021-08-18T10:48:20.000Z,False,"Carlos Moisés vai à Brasília, garante acordo com ministro e vence batalha.

Governador Carlos Moisés participou da audiência pública na Comissão de Infraestrutura do Senado Federal.

Confira a opinião no Blog #RondaPolítica https://bit.ly/3xWzoE9",0,4,3,0,['#RondaPolítica'],[],[],https://pbs.twimg.com/profile_images/848882244190187520/fH5HFPD6_bigger.jpg,https://x.com/diariodoiguacu/status/1427945452553613314,tweet_id:1427945452553613314
Diego Rodolfo de Oliveira,@godie2222,2021-08-17T21:32:38.000Z,False,Prefeito Orvino e o vice-prefeito Michel estão em Brasília para participar de audiência pública no Ministério da Infraestruturahttps://semanario-sc.com.br/noticia/2282/prefeito-orvino-e-o-vice-prefeito-michel-estao-em-brasilia-para-participar-de-audiencia-publica-no-m.html…,0,0,1,0,[],[],[],https://pbs.twimg.com/profile_images/1884302122641965056/AxZj6VR9_bigger.jpg,https://x.com/godie2222/status/1427745206762418178,tweet_id:1427745206762418178
Agência de notícias Brasil,@nagenciabr,2021-08-17T18:16:43.000Z,False,Governador de SC em Brasília: audiência pública debate investimentos na infraestrutura do estado https://agenciabr.com.br/governador-de-sc-em-brasilia-audiencia-publica-debate-investimentos-na-infraestrutura-do-estado/…,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1292989546091642880/DSy6g1Ff_bigger.jpg,https://x.com/nagenciabr/status/1427695904627204096,tweet_id:1427695904627204096
Diário do Iguaçu,@diariodoiguacu,2021-08-17T11:49:12.000Z,False,"Governador participa em Brasília de audiência pública sobre infraestrutura.

Entre os assuntos estão o aporte de R$ 350 milhões para acelerar obras em três rodovias.

Confira: https://bit.ly/3xTueIU",0,2,0,0,[],[],[],https://pbs.twimg.com/profile_images/848882244190187520/fH5HFPD6_bigger.jpg,https://x.com/diariodoiguacu/status/1427598384249163801,tweet_id:1427598384249163801
Rádio Web Atividade,@radiowebativida,2021-08-16T22:38:10.000Z,False,Governador participa de audiência pública sobre infraestrutura em Brasília nesta terça-feira http://dlvr.it/S5mb1w,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1286145081972527106/v_Rgn0Oq_bigger.png,https://x.com/radiowebativida/status/1427399311092944937,tweet_id:1427399311092944937
Neoenergia Brasília,@neoenergiabsb,2021-08-06T20:11:44.000Z,True,"Alguma lâmpada do poste queimou por aí? 
Encontrou luminária acesa durante o dia?  Fale com a . Ah, a taxa arrecadada em sua conta de energia é repassada integralmente ao GDF para a instalação e manutenção da infraestrutura de iluminação pública em todo o DF.",2,1,32,0,[],['@ceb_ipes'],"['\\U0001f9d0', '\\U0001f4a1', '\\U0001f449']",https://pbs.twimg.com/profile_images/1661337857837998081/aG_gVvE-_bigger.jpg,https://x.com/neoenergiabsb/status/1423738581181423620,tweet_id:1423738581181423620
Frente Parlamentar da Agropecuária,@fpagropecuaria,2021-07-27T18:52:51.000Z,True,"O programa Conexão Brasília discute os PL que falam sobre a expansão da oferta de energia elétrica emergencial e  obras de infraestrutura rural como utilidade pública. O debate conta com a participação do deputado  , autor dos projetos. Confira: https://bityli.com/l5bFn",0,0,0,0,[],['@ZeMarioGO'],[],https://pbs.twimg.com/profile_images/1168558425615273984/yX_ijPH__bigger.jpg,https://x.com/fpagropecuaria/status/1420094854210666503,tweet_id:1420094854210666503
